login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license
SoumyaSagnik,SoumyaSagnik/Dino-Game,2023-02-26T19:14:00Z,0,0,JavaScript,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Crypto-Market,2022-11-30T18:32:24Z,1,1,CSS,TRUE,TRUE,
shyvum,shyvum/10-04-2021-a-101-show-on-Git-and-GitHub,2021-04-10T09:29:56Z,3,3,,TRUE,TRUE,
scaleracademy,scaleracademy/dsml-beginner-oct-22,2022-10-17T16:15:14Z,9,9,Jupyter Notebook,TRUE,TRUE,
collabnix,collabnix/awesome-swarm,2023-02-17T14:09:49Z,0,0,,TRUE,FALSE,cc0-1.0
SoumyaSagnik,SoumyaSagnik/Frontend-Design-Gaming,2023-02-07T22:48:20Z,1,1,JavaScript,TRUE,TRUE,
knadh,knadh/dirmaker,2021-02-25T13:59:59Z,50,50,Python,FALSE,FALSE,mit
adityaoberai,adityaoberai/awesome-dotnet-maui,2023-01-27T10:22:42Z,0,0,,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Java-Programs,2022-11-10T18:00:09Z,1,1,Java,TRUE,TRUE,
scaleracademy,scaleracademy/ComputerVision,2023-02-02T04:46:46Z,1,1,Jupyter Notebook,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Budget-Tracker,2023-01-28T16:32:54Z,1,1,JavaScript,TRUE,TRUE,
connectit2anand,connectit2anand/Aeropostale-Clone,2023-01-17T15:16:58Z,5,5,HTML,TRUE,TRUE,
aashutoshrathi,aashutoshrathi/awesome-bashrc,2018-10-01T06:39:27Z,192,192,Python,FALSE,TRUE,
SamirPaulb,SamirPaulb/flutter-news-app,2023-01-21T06:46:59Z,8,8,Dart,TRUE,TRUE,
aashutoshrathi,aashutoshrathi/cli,2023-01-17T20:19:14Z,1,1,,TRUE,TRUE,apache-2.0
dhruvmanila,dhruvmanila/charmbracelet-gum,2022-10-02T10:46:09Z,1,1,Go,TRUE,TRUE,mit
paramsiddharth,paramsiddharth/buildspace-ai-avatar-starter,2023-01-08T13:58:06Z,0,0,JavaScript,TRUE,TRUE,
smilegupta,smilegupta/Conference-Finder,2020-03-30T14:07:26Z,1,1,TypeScript,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Code-Help,2023-01-07T14:37:58Z,1,1,HTML,TRUE,TRUE,
Shubham0812,Shubham0812/JobsHunt,2019-09-19T15:30:47Z,4,4,TypeScript,TRUE,TRUE,
sadanandpai,sadanandpai/boggleboard,2020-07-05T14:39:17Z,9,9,Vue,TRUE,TRUE,
scaleracademy,scaleracademy/bookmyshowjan23usmor,2023-01-05T04:12:07Z,0,0,Java,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Flexbox-Visualizer,2023-01-05T17:21:27Z,1,1,JavaScript,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Calculator,2022-12-27T21:24:32Z,1,1,JavaScript,TRUE,TRUE,
ajeetraina,ajeetraina/about,2021-01-01T07:08:37Z,0,0,,TRUE,TRUE,
SamirPaulb,SamirPaulb/demo,2022-03-03T11:50:16Z,10,10,HTML,TRUE,TRUE,
SamirPaulb,SamirPaulb/mysql,2022-02-28T07:02:39Z,19,19,HTML,TRUE,TRUE,
SamirPaulb,SamirPaulb/compress-image,2021-06-20T12:30:20Z,16,16,HTML,TRUE,TRUE,mit
scaleracademy,scaleracademy/blogapi_node_ts,2023-01-01T09:28:56Z,0,0,TypeScript,TRUE,TRUE,
theapache64,theapache64/boil,2020-08-09T03:30:53Z,42,42,Kotlin,TRUE,TRUE,
sadanandpai,sadanandpai/projectportal,2017-11-15T18:09:34Z,3,3,HTML,TRUE,TRUE,
rbhatia46,rbhatia46/Bert-Multi-Label-Text-Classification,2022-12-27T06:52:38Z,0,0,Python,TRUE,TRUE,mit
ajeetraina,ajeetraina/backstage,2022-12-22T01:12:57Z,0,0,,TRUE,FALSE,apache-2.0
adityaoberai,adityaoberai/Appwrite-CosmosDB-CRUD-Function-Sample,2022-11-24T14:08:58Z,1,1,C#,TRUE,TRUE,
scaleracademy,scaleracademy/dsml-aug22-beginner-morning,2022-08-18T03:59:58Z,1,1,Jupyter Notebook,TRUE,TRUE,
SoumyaSagnik,SoumyaSagnik/Clock,2022-12-15T21:49:16Z,1,1,CSS,TRUE,TRUE,
ajeetraina,ajeetraina/awesome-compose,2022-03-05T06:41:29Z,14,14,HTML,TRUE,TRUE,cc0-1.0
SoumyaSagnik,SoumyaSagnik/JavaScript-String-Properties,2022-12-08T22:57:00Z,1,1,HTML,TRUE,TRUE,
adityaoberai,adityaoberai/APOD_UWP,2019-09-14T20:59:52Z,0,0,C#,TRUE,TRUE,
aagarwal1012,aagarwal1012/Debug-Thugs,2018-10-08T08:18:08Z,7,7,Jupyter Notebook,TRUE,TRUE,
knadh,knadh/goyesql,2019-06-27T07:35:54Z,54,54,Go,TRUE,TRUE,bsd-2-clause
collabnix,collabnix/Automation-with-slack,2022-12-01T07:38:22Z,0,0,,TRUE,TRUE,
scaleracademy,scaleracademy/blogapp_springboot_java,2022-05-11T17:30:14Z,3,3,Java,TRUE,TRUE,
scaleracademy,scaleracademy/academy-nov-22-beginner-python-refresher,2022-11-21T16:34:51Z,0,0,,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/kotlin-refactoring-katas,2021-12-18T16:06:34Z,13,13,Kotlin,TRUE,TRUE,
scaleracademy,scaleracademy/academy-oct-22-beginner-python-refresher,2022-10-20T17:31:28Z,4,4,Jupyter Notebook,TRUE,TRUE,
ajeetraina,ajeetraina/ajeetraina,2021-07-27T07:09:00Z,4,4,,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/maestro,2022-09-09T10:36:16Z,0,0,Kotlin,TRUE,FALSE,apache-2.0
vopani,vopani/waveton,2022-05-09T07:24:50Z,99,99,Python,FALSE,FALSE,apache-2.0
adityaoberai,adityaoberai/banana-speak,2022-11-05T15:13:52Z,0,0,CSS,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/django,2022-01-17T16:05:55Z,8,8,HTML,TRUE,TRUE,
adityaoberai,adityaoberai/awesome-appwrite-snippets,2022-10-10T11:14:28Z,0,0,,TRUE,FALSE,mit
paramsiddharth,paramsiddharth/chatur-vani,2022-10-11T18:59:35Z,2,2,Python,TRUE,TRUE,
aakashns,aakashns/deep-learning-workbook,2017-12-27T13:21:50Z,14,14,Jupyter Notebook,TRUE,TRUE,mit
dhruvmanila,dhruvmanila/gitea,2022-07-19T14:41:44Z,1,1,Go,TRUE,FALSE,mit
krishnadey30,krishnadey30/ionic-framework,2022-10-23T07:10:10Z,1,1,,TRUE,TRUE,mit
scaleracademy,scaleracademy/android-mc-20221021,2022-10-21T15:00:16Z,17,17,Kotlin,TRUE,TRUE,
scaleracademy,scaleracademy/beginner1-repeater-oct22,2022-10-20T16:43:41Z,0,0,Jupyter Notebook,TRUE,TRUE,
Shubham0812,Shubham0812/Generic-Network-Layer_iOS,2021-09-01T16:44:31Z,48,48,Swift,TRUE,TRUE,
scaleracademy,scaleracademy/dsml-intermediate-aug-22,2022-08-17T17:13:21Z,4,4,Jupyter Notebook,TRUE,TRUE,
krishnadey30,krishnadey30/Bank-Management-System,2017-12-09T13:02:49Z,9,9,C,TRUE,TRUE,
smilegupta,smilegupta/animation-made-easy,2022-09-11T20:16:34Z,30,30,JavaScript,TRUE,TRUE,
adityaoberai,adityaoberai/appwrite-auth-demo,2022-09-19T14:24:57Z,1,1,Svelte,TRUE,TRUE,
smilegupta,smilegupta/chatloop-frontend,2021-04-29T14:15:41Z,24,24,JavaScript,TRUE,TRUE,
krishnadey30,krishnadey30/blackCofferApp,2019-09-02T16:08:16Z,1,1,Python,TRUE,TRUE,
ajeetraina,ajeetraina/appwrite,2022-09-16T13:10:35Z,0,0,,TRUE,FALSE,bsd-3-clause
scaleracademy,scaleracademy/dsml-july22-intermediate,2022-07-18T19:05:23Z,8,8,Jupyter Notebook,TRUE,TRUE,
SamirPaulb,SamirPaulb/CP-Templates-in-Python,2022-09-10T20:16:10Z,7,7,Python,TRUE,TRUE,apache-2.0
scaleracademy,scaleracademy/all-about-js-8-sept,2022-09-08T03:45:40Z,1,1,JavaScript,TRUE,TRUE,
SamirPaulb,SamirPaulb/Competitive-Programming-Library-in-Python,2022-09-11T21:23:31Z,10,10,,TRUE,TRUE,apache-2.0
collabnix,collabnix/awesome-compose,2022-09-06T05:51:54Z,3,3,,TRUE,FALSE,cc0-1.0
aashutoshrathi,aashutoshrathi/auth0-public-assets,2022-09-08T08:34:58Z,1,1,,TRUE,TRUE,
collabnix,collabnix/cayman,2022-09-05T06:16:22Z,0,0,,TRUE,FALSE,cc0-1.0
ajeetraina,ajeetraina/alfresco-docker-extension,2022-08-25T05:53:46Z,0,0,,TRUE,TRUE,lgpl-3.0
shyvum,shyvum/EasyWeather,2019-08-03T01:34:55Z,28,28,Dart,TRUE,TRUE,mit
collabnix,collabnix/awesome-devsecops,2023-01-21T03:59:36Z,1,1,,TRUE,TRUE,cc0-1.0
collabnix,collabnix/ajeetraina,2022-05-31T09:29:13Z,0,0,,TRUE,TRUE,
knadh,knadh/gtbump,2019-11-26T09:44:35Z,20,20,Python,TRUE,TRUE,mit
adityaoberai,adityaoberai/ADC30Experts,2022-08-16T12:48:21Z,1,1,HTML,TRUE,TRUE,
SamirPaulb,SamirPaulb/Grokking-System-Design,2022-08-02T13:20:43Z,21,21,Shell,TRUE,TRUE,gpl-3.0
dhruvmanila,dhruvmanila/LibCST,2022-08-07T03:17:18Z,1,1,,TRUE,FALSE,other
knadh,knadh/hugo-ink,2019-11-19T06:28:58Z,399,399,HTML,TRUE,TRUE,mit
paramsiddharth,paramsiddharth/actions-test,2022-08-04T17:41:43Z,0,0,,TRUE,TRUE,
scaleracademy,scaleracademy/dsml-intermediate-may22,2022-06-20T15:23:42Z,5,5,Jupyter Notebook,TRUE,TRUE,
DeekshithSN,DeekshithSN/Ansible-tools,2022-03-02T11:02:44Z,7,7,Jinja,TRUE,TRUE,
aashutoshrathi,aashutoshrathi/chakra-ui-docs,2022-07-27T16:50:02Z,1,1,,TRUE,TRUE,
dhruvmanila,dhruvmanila/deepsource-cli,2022-07-13T17:50:21Z,1,1,Go,TRUE,FALSE,bsd-2-clause
shyvum,shyvum/Exercism,2022-07-20T13:19:59Z,2,2,Java,TRUE,TRUE,
aakashns,aakashns/flask-web-codesandbox-test,2022-07-20T09:46:20Z,0,0,,TRUE,TRUE,mit
knadh,knadh/indexed-cache,2021-08-28T09:24:37Z,79,79,JavaScript,FALSE,TRUE,mit
scaleracademy,scaleracademy/DSML-Beginner-Apr22,2022-05-23T17:58:38Z,4,4,Jupyter Notebook,TRUE,TRUE,
dhruvmanila,dhruvmanila/fig-autocomplete,2022-07-10T03:46:19Z,1,1,,TRUE,TRUE,mit
vopani,vopani/sudokuib,2022-01-21T06:59:38Z,3,3,,TRUE,TRUE,apache-2.0
dhruvmanila,dhruvmanila/neogen,2022-06-11T19:18:44Z,1,1,Lua,TRUE,TRUE,gpl-3.0
scaleracademy,scaleracademy/dsml-intermediate-may-22,2022-05-25T14:32:27Z,1,1,Jupyter Notebook,TRUE,TRUE,
vopani,vopani/jaxton,2022-01-05T12:18:46Z,566,566,Jupyter Notebook,TRUE,TRUE,apache-2.0
aagarwal1012,aagarwal1012/Daily-Prophet-AR,2020-03-25T22:14:01Z,24,24,C#,TRUE,TRUE,mit
collabnix,collabnix/cherrybot,2021-09-04T02:59:02Z,3,3,HTML,TRUE,TRUE,apache-2.0
scaleracademy,scaleracademy/dsml-adv-feb-22,2022-06-04T15:00:12Z,0,0,Jupyter Notebook,TRUE,TRUE,
dhruvmanila,dhruvmanila/homebrew-tap,2022-05-29T06:50:48Z,1,1,,TRUE,TRUE,
paramsiddharth,paramsiddharth/chotibachi-hokya,2022-05-22T17:09:45Z,0,0,,TRUE,TRUE,
probelalkhan,probelalkhan/android-login-signup-tutorial,2020-08-30T11:30:37Z,105,105,Kotlin,TRUE,TRUE,
mitesh77,mitesh77/map_ui,2022-05-16T09:33:34Z,1,1,,TRUE,TRUE,
DeekshithSN,DeekshithSN/Ansible,2020-05-06T10:30:22Z,32,32,Shell,TRUE,TRUE,
collabnix,collabnix/biotechhub,2023-01-24T13:49:58Z,0,0,,TRUE,TRUE,mit
aagarwal1012,aagarwal1012/GitHubGraduation-2022,2022-05-03T11:05:48Z,1,1,JavaScript,TRUE,TRUE,
raisedadead,raisedadead/alfred-tor,2017-12-29T19:36:48Z,10,10,Shell,FALSE,FALSE,mit
dhruvmanila,dhruvmanila/gitlinker.nvim,2022-04-07T02:44:32Z,1,1,,TRUE,FALSE,gpl-3.0
collabnix,collabnix/awesomeshowcase,2022-04-05T18:23:31Z,0,0,TypeScript,TRUE,TRUE,other
ajeetraina,ajeetraina/awesome-showcase,2022-04-05T05:49:49Z,0,0,,TRUE,TRUE,
ajeetraina,ajeetraina/awesomeshowcase,2022-04-06T05:43:54Z,0,0,,TRUE,TRUE,other
collabnix,collabnix/awesome-showcase,2022-04-05T14:43:52Z,0,0,,TRUE,TRUE,
aagarwal1012,aagarwal1012/Github-Actions-Flutter,2020-04-06T22:34:26Z,19,19,Dart,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/safe-codegen-upgrade,2022-03-29T16:55:28Z,0,0,Kotlin,TRUE,TRUE,
DeekshithSN,DeekshithSN/appoint-me,2021-12-05T11:01:08Z,3,3,JavaScript,TRUE,TRUE,
dhruvmanila,dhruvmanila/nvim-test,2022-03-21T15:28:31Z,1,1,Lua,TRUE,TRUE,mit
sadanandpai,sadanandpai/react-components,2022-03-10T16:49:25Z,10,10,JavaScript,TRUE,TRUE,
shyvum,shyvum/CoDeath,2018-10-12T19:21:19Z,4,4,HTML,TRUE,TRUE,mit
sadanandpai,sadanandpai/dsa-in-js,2020-06-11T08:43:54Z,22,22,JavaScript,TRUE,TRUE,
scaleracademy,scaleracademy/Dec-Web-Dev-Bootcamp,2021-12-06T12:40:54Z,10,10,HTML,TRUE,TRUE,
scaleracademy,scaleracademy/dev-demo-day-submissions,2022-02-27T10:32:08Z,11,11,,TRUE,TRUE,
ajeetraina,ajeetraina/basic-analytics-dashboard-redis-bitmaps-nodejs,2021-03-31T09:57:48Z,0,0,Vue,TRUE,TRUE,mit
